Room Name,Room Number,Temperature (°C)
Materials library,101,
15 people MR,102,
15 people MR,103,
Hallway,104,
boots,105,
Boots,107,
Hallway,108,
Bike parking,110,
Storage,111,
Office,113,
Office,114,
Office,115,
shower/changing area,116,
WC,117,
WC,118,
Auditorium (200 pepole),123,
Multi purpose area,124,
15 people MR,125,
Hallway,127,
cafe (50 people),129,
WC,130,
handicap WC,131,
Office,132,
Office,147,
6 people MR,154,
6 people MR,155,
Office,156,
6 people MR,173,
Tech,183,
shower/change,184,
AHU 4B flexible places,185,
Office,186,
escape stair/elevator,187,
Foyer,189,
Hallway,190,
Tech,191,
Tech,192,
Tech,193,
Tech,194,
Tech,195,
Tech,196,
Tech,197,
Reception/Atrium,198,
Office,199,
Office,200,
6 people MR,201,
Office,202,
Courtyard,203,
studen area,205,
hallway,206,
Boots,207,
Tech,208,
25 people MR,225,
Office,247,
6 people MR,248,
Office,249,
Office,250,
Office,251,
Office,252,
Office,253,
Office,254,
Office,255,
Office,256,
Office,257,
Office,258,
15 people MR,259,
15 people MR,260,
Hallway,261,
Hallway,262,
Tech,263,
